AINTREE	AINT
ASCOT	ASCOT
AYR	AYR
BANGOR	BANG
BATH	BATH
BEVERLEY	BEV
BRIGHTON	BRIG
CARLISLE	CARL
CARTMEL	CART
CATTERICK	CATT
CHELTENHAM	CHELT
CHEPSTOW	CHEP
CHESTER	CHEST
DONCASTER	DONC
EPSOM	EPSOM
EXETER	EXTR
FAKENHAM	FAKE
FOLKESTONE	FOLK
FONTWELL	FONT
GOODWOOD	GOOD
HAMILTON	HAM
HAYDOCK	HAYD
HEREFORD	HERE
HEXHAM	HEX
HUNTINGDON	HUNT
KELSO	KELSO
KEMPTON	KEMP
LEICESTER	LEIC
LINGFIELD	LING
LUDLOW	LUDL
MARKET	MRKTR
MUSSELBURGH	MUSS
NEWTON	NEWT
NEWBURY	NEWB
NEWCASTLE	NEWC
NEWMARKET	NEWM
NOTTINGHAM	NOTT
PERTH	PERTH
PLUMPTON	PLUMP
PONTEFRACT	PONTE
REDCAR	REDC
RIPON	RIPON
SALISBURY	SALIS
SANDOWN	SAND
SEDGEFIELD	SEDGE
SOUTHWELL	STHL
STRATFORD	STRAT
TAUNTON	TAUN
THIRSK	THIRSK
TOWCESTER	TOWC
UTTOXETER	UTTOX
WARWICK	WARW
WETHERBY	WETH
WINCANTON	WINC
WINDSOR	WIND
WOLVERHAMPTON	WOLV
WORCESTER	WORC
YARMOUTH	YARM
YORK	YORK
